chunk_id,source_book,page,text_preview,current_semantic_tags,current_risk_levels,annotated_contraindications,annotated_risk_level,annotator_notes
ku_pdfbook_050155fb,善终守护师.pdf,97-97,"。在普通病房时,
身体并没出现明
显娈化。被转到安宁病房后才突然要开始接受死
亡。剩余的日子要做些什么,两个儿女不知如何
是好。因此跑来找我。那时我提议 ""24小时善终
第?章  金钱买不到的临终华美
守护""
对方立刻答应。我因而接下这个工作。
其后。女儿被父亲骂回去: ""你们都不要来
了,哕唆。不要来了! ""女儿被父亲的怒斥吓
到
又跑来问我,我跟她说: ""那不是父亲的本
意,去吧 !若不去,你将来会后悔,你要好好想
一想。
人在医院临终时
有时会出现谵妄 (出现暴
言,暴力的错乱状态 )症状。因为。在医院临终
的人必须同时接受两件事,
一个是他的终点站在
医院,另一个是他要接受死亡将至的事","谵妄, 家属沟通, 告别与分离, 死亡焦虑",,,,
ku_pdfbook_2ae9e649,善终守护师.pdf,99-99,"终者感受到死期已近。这时他开始接
受死。坦然地接受死,
当临终者的梦想实现时,
他会幸福愉悦地接受死。
二_迎接使者一定会到来
前述这位男性在过世前两天。
对他女儿的态
笫2章  金钱买不到的临终华美
度娈了。显然 ,
迎接使者已经到了。他娈得神情
愉悦。
是什么让他娈了一个人呢?
因为。他本人已非普通人,精神状态让他娈
得幸福圆满
为什么我知道迎接使者己到?
由临终者本人告诉我的 ""故事"" ,我知道迎
接使者巳到来。
""我连人带车掉进了稻田
救我出来的。是
死了的某某人.
平常我就跟他女儿谈迎接使
者的事,所以她听到父亲这么一说
很快地就明
自时间巳经到了。
他一整天都在自言自语。神情愉悦地","死亡焦虑, 告别与分离, 灵性需求",,,,
ku_pdfbook_7aefe74b,善终守护师.pdf,100-100,"说
着 ,
翌#即平静地走了。听说人要走时,大脑会
分泌出类似吗啡的物质内啡肽
临终者其实没有
痛苦,也体会不到冷暖
甚至连恐惧也会消失。
人的身体里
自然具备了这些机能。而且,
普 终 守 护  师
一定会有迎接使者。迎接使者还没来时
人是不
可能死的。迎接使者来了。这个时候人才会迈向
死亡。
临终医疗学者卡尔 .贝克搜集了数千个临
终经验报告进行研究。现在日本娈成了小家庭社
会。从前只有老年人才跟我们谈这些经验。令人
遗憾的是。这些故事己再没人提起。不知不觉
中。日本人对于客观的。重要的东酉的看法,发
生了重大变化。
我从临终者那里听到迎接使者的实迹。也从
无法言语的临终者的表情中,得知迎","死亡焦虑, 灵性需求, 告别与分离",,,,
ku_pdfbook_3f416e1c,善终守护师.pdf,105-106,"数人是在医院寂寞地走完人生的。
日本的文化。社会制度激烈娈化,
我们面临的生死课题不胜枚举。
我们活在非常矛盾的社会 ,
但无论是临终者还是送行人,
都期盼能贯彻自己的生死观 ,
从容无悔,安心临终。
残酷的现实
某位住在养老院的人士早已声明拒绝延命
抢救
但发生紧急状况时。
仍被养老院送到了医
院,
最后在医院痛苦又遗憾地死去。
当时我正好在福冈某私立养老院工作。该养
老院的建筑像星级酒店 _
提供老人豪华三餐;工
作人员也自带温暖笑容。当时
有不少老人卖了
房子才住进来。其中有位94岁的老律师。他一直
交代我: .柴田。我准备死在这里。我拒绝延命
治疗,若发生紧急状况,你要记住,我巳经受够","死亡焦虑, 医疗决策, 预立医疗计划, 家属沟通, 文化敏感性",,,,
ku_pdfbook_9037b55f,善终守护师.pdf,107-107,"真自然,彻底改娈了我
的价值观。
其实我也曾经历癌症手术,
自己接受了治
疗
当然不是要否定现行医疗制度。但若人已到
了不得不接受死亡的阶段。停止无谓治疗,反而
笫3章  只能在医院等死的日本医疗制度
能活得更像个人,拒绝治疗的人也许可以更长命。
朋友冈崎的父亲在医院病故
他身体一向非
常健康
曾自豪地称能活到120岁。过去根本没机
会跟他谈延命抢救的问题。结果
88岁那年。他
突然无法言语也无法进食家人当然就将他送医。
刚住院时,喂流质食物,后来连流质食物也
吃不下,
只好打点滴。住院两个月。体重掉到38
公斤。血管硬化到都无法打点滴。他勉强能用摇
头和点头来表达,问他要不要做胃造瘘,得到的","医疗决策, 预立医疗计划, 家属沟通, 疼痛管理, 生命意义",,,,
ku_pdfbook_8aaf4ffe,善终守护师.pdf,107-109,"做不了停止延命治疗的决定。
他受不了插入点滴管的痛苦。常想伸手拔
掉。结果。护士把他的手绑在床上。让他动弹不
得。老父用微弱的声音拼命说 ""想回家"" ,然而
冈崎家里还有年事已高的失智老母,也有工作缠
菁终  守 护  师
身。实在无法接父亲回家照护
后来,
冈崎的父亲在医院又患上了肺炎。就
此撒手人寰。
冈崎说。父亲临终时。他一直守护在身旁,
这还算有点心理补偿。其实大部分人都在这种状
况下无可奈何地临终,现今社会已把在医院病故
当成了理所当然
家属的障碍
2011年
我从知夫里岛搬到米子已有两年。
我守护过的善终者
没人接受延命治疗。但从离
岛回到本岛才惊觉。竟然有那么多人依赖延命治
疗而","医疗决策, 家属沟通, 预立医疗计划, 照护负担",,,,
ku_pdfbook_34dd5e75,善终守护师.pdf,113-114,"若是本人期望
的
那没话说;  若没经过本人的同意。那简直就
是酷刑。
三浦绫子曾在她的书中写道: ""人生最苦的
不是自发人送黑发人,而是明明临终。人家还不
让我死。
我亲身经历了很多例子。对于三浦的
菁终 守 护  师
说法极为认同。
护士说怕病患拔掉点滴,所以把他们五花大
绑地绑在床上。这样的临终可不就像酷刑?
延命治疗结果如何?  这里需要具体谈一下
做胃造瘘延金治疗真的好吗?
从前有位住在 ""平安之家'
的老太太因无法
进食住迸了医院。医生问她想不想做胃造瘘,还
特别用轮椅推着她,实地去看看做胃造瘘的患
者。其实,很多医生都没说明什么是胃造瘘。直
接就为患者做了。那位曾与我一起做演讲的","死亡焦虑, 家属沟通, 医疗决策, 预立医疗计划",,,,
ku_pdfbook_07dc8412,善终守护师.pdf,115-115,"模样
就不想活了! ,当时。医生`我及
她的儿子都听到了她明确的拒绝。
然而。当她被推回病房后。医生再度开口
问: ""需要做胃造瘘吗?
这时儿子竟回答: """"那
第3章  只能在医院等死的日本医疗制度
就拜托您了 !
儿子希望母亲活下去,
某种角度这代表他深
爱着母亲。
老实说。我们三个人都很痛苦。儿子也是鼓
足了勇气才说出决定。
医生很困惑
不知如何是好 ,
因为临终者一
口回绝。儿子却又要求做。好在后来老太太的情
况好转,没必要做了。
还有另一个例子。那就是长期与帕金森病缠
斗的女摄影家黑田。她曾住进 ""平安之家""
岁就发了病。
16年间 ,
她拍摄了超过1万张花朵作品。连
续10年发行花","医疗决策, 家属沟通, 死亡焦虑, 生命意义, 老年安宁",,,,
ku_pdfbook_fd1a5907,善终守护师.pdf,117-117,"她期望在自家为亲爱的奶奶送终。
当时
美香问了奶奶的想法,
奶奶说没看到
曾孙她不愿死。为了满足奶奶的心愿,
只好为她
做胃造瘘。美香顺利产下婴儿,老奶奶想抱曾孙
笫3章
只能在医院等死的日本医疗制度
的心愿终于实现了。我去探望美香时。发现她把
婴儿床与奶奶的看护床放在同一个房间,老婆婆
与婴儿睡在同一个房间。
也许有人认为,初生婴儿与死期将至的老婆
婆住在一个房间里。不是很危险吗?  然而。这景
象实在美得令人感动,因为我明自美香为了照顾
奶奶是何等的奋不顾身。
其后。奶奶的营养剂发生逆流,己不能插管
了,最后只能靠打点滴维持生命。美香在最后几
天
直接躺在奶奶床上陪伴她
配合老人家的呼
吸","告别与分离, 家属沟通, 居家安宁",,,,
ku_pdfbook_cf6bdc15,善终守护师.pdf,127-128,"亲是我的宝贝""
真是很棒的女儿。这位
女儿的孝顺值得年轻人学习
现代人只追求速度
及效率,我们的社会因而娈得冷漠。
事实上,婴儿潮世代曾带动经济的发展 
现
在有了余裕。照理说应该得到最好的照顾。他们
普终  守 护  师
回去时
应该对他们说一声: ""您到家了 !
最近
我到公立养老院探望一位老人家,
问
他: ""有什么想做的事吗?
他说: ""想回家!
于是我带他回了家。他一进门。先到祖先牌位前
合掌哭了起来。
我认为养老院应安排老人定期回家。如果人
住进养老院后就回不了家,
那真不得不感慨我们
国家好穷啊!老人住进养老院后,家属就急着想
娈荬他的房产
甚至是为了让老人住进养老院不
得不卖房","灵性需求, 生命意义",,,,
ku_pdfbook_8c3b8998,善终守护师.pdf,129-129,"后,连开口说《想回家'都
是奢求
日本人习惯早晚对祖先牌位礼拜。我们家也
有祖先牌位。我总是与儿孙们一起礼拜。住在养
老院的老人家虽然不愁衣食。还有24小时的空调
第3章
只能在医院等死的日本医疗制度
吹
但最重要的心被忽视了
我愿能实现那 ""回
家""  的寻常自由。
实际上,住进养老院的人根本开不了口说
想一个月回家一次,
因为回家后。没人帮他换尿
布 ,
坐着轮椅也行动不便。就算养老院里有人听
他说。也没人能帮得了。
下面是我在离岛从事善终守护的真实事例
贞子从本岛医院被转到 ""平安之家"" ,我第一次
扶她入浴时,贞子在走廊上就把衣服全脱掉了。
我吓了一跳。连忙把衣服捡起说: ""我们到浴室","死亡焦虑, 未竟事务, 生命意义, 居家安宁",,,,
ku_pdfbook_3236a849,善终守护师.pdf,163-163,"护
但几乎没有照护机构在夜
间运营,
巡回照护形同虚设。此外 ,
超过看护保
险次数上限的人另外加请看护,
一小时是4000
日元。即使一天只请一小时, 一个月的花费就是
第 +章  为幸福的死儆准备
12万。这样的开销给家属带来了沉重的经济负
担,只好放弃在家照护
把老人送进养老院。
对使用看护保险依然得不到充分照顾的人
天使团队只收取车马费。经过几年的发展,
目前
我们有384名善终守护师,天使团队在全日本有
412个分支。义工人数将近3000名。各分支有自
己的负责人和运营方法。
我们来看三个天使团队服务的例子。
喜代婆婆如愿回家
有人给 ""平安之家"" 打来一通电话: ""我妈
妈想从医院","照护负担, 存在性痛苦, 告别与分离, 居家安宁, 老年安宁",,,,
ku_pdfbook_236cdbdc,善终守护师.pdf,163-164,"帮忙吗?
于
是我们先到医院探望临终者的状况。
94岁的喜代婆婆在病床上欣喜地看着我。初
次见面她就紧握着我的手说: ""我想回家。我寂
寞。你在我这里睡 !
她邀我上她的床铺。就这
三句话
反复说着。
善  终  守  护  帅
老人家这样说
唤起了我送她回家的使命
感,我其实都还没做什么准备,只是一心想送
给她人生最后1 %的幸福。从那天起,我四处征
寻该地区的义工天使。结果出院当天,一下来了
12名。
义工的工作内容 ,
只是陪伴在身旁
握着她
的手,
守护她。义工天使总是会为不相识的人迅
速集结,热情地献上自己的时间,这是我没有预
料到的。
在12名义工天使的帮助下 _
老人回到了自己
","居家安宁, 家属沟通, 告别与分离",,,,
ku_pdfbook_c79e0bba,善终守护师.pdf,168-169,"了很长时间。
房间里弥漫着清爽的气氛。我想起
父亲与我永别的时刻,透过纸门的亮光。照子的
脸上都是光芒
在天使团队出动服务的第20天
照子在义工
及家属的守护下安详辞世。
笫 4章  为幸福的死做准备
|第5章 |
与医界对话
这里要介绍两位我敬爱的朋友,
长尾诊所所长。知名作家长尾和宏 ,
以及心身医学专科医生岩田千佳。
长尾诊所除了接收普通患者 ,
也为无法到诊所治疗的病患提供居家照护支持等
综合性服务 ,
即所谓的家庭疗养支持诊所 ,
自成立以来,已守护过近千名患者在家平稳临终。
岩田医生目前致力于融合医疗这个新领域;
她总是慷慨地与同人分享新的知识与技术。
岩田医生关心我们 ""平安之家","告别与分离, 居家安宁",,,,
ku_pdfbook_5dbc0076,善终守护师.pdf,170-170,"《请不要死》。若有人指
着我的鼻子说 ""请不要死""
我的脑子里会冒出
很多往事。
我的亲友有好几位都是自杀而死,
父亲就是
自杀亡故的。所以,
请不要死
正是我想呼吁
的。换句话说就是
'请不要自杀""
父亲的自杀让我更加坚信人不可以自杀。我
的亲身经历
让我知道作为遗弧终生被 ""自杀恐
惧""  纠缠的感觉。有亲人自杀的人,精神力量看
似比别人强大。但其实有部分是怪异扭曲的
从东京医科大学毕业后,我进人大阪大学医
院笫二内科
在那里做了两年研修医生后。转到
大阪某个犹如野战医院的急诊医院工作。我在那
里几乎每天看诊的对象都是临终者。每天都被死
亡追着跑。那是我自己的选择,但当时忙得令我
想逃。
","死亡焦虑, 抑郁情绪, 哀伤与丧失",,,,
ku_pdfbook_1c840e37,善终守护师.pdf,171-171,"。翌日,被副院长叫到办公室痛骂: ""你昨天
晚上做了什么?  大笨蛋 !
真是骂得好。好在我
后来努力工作。总算完成实习研修
之后回到大
阪大学医院工作了5年。又到市立芦屋医院担任
第5章
与医界对话
住院医生4年。
我在芦屋医院工作期间遇到了阪神大地震,
那时我在那里看到的不是病人,而是健康的人的
遗体。我生平第一次看到幼儿的遗体
从那时候
开始。我发现我 ""想死还太早了点""
担任住院医生第十年的某个晚上。有位我主
治的癌症晚期病患从医院顶楼跳楼自杀。那位病
患曾拜托我让他停止治疗回家。而我断然说不能
停也不许回家。清晨为这位病患解剖验尸时。我
直反省,是我杀了他,真的对不起。
这个事件改变","未竟事务, 生命意义",,,,
ku_pdfbook_44861b8f,善终守护师.pdf,177-177,"生会写死亡证明书。基
于上述两点理由,这个世界还需要医生。为了不
引起误会,
在此要特别说明的是。就如《医生
法》第二十条保障的。当人咽下最后-口气时,
并不一定需要医生在场。
笫 5幸  与医界对话
在日本 ,
'尊严死""与
《安乐死'
是不一样的
您对死的见解,是非常阳刚的
我听了很多对死的看法。但我不明自自己
是否跟多数人一样。很多人都是自己提前选定墓
园。我至少也要做到这些。遗嘱。遗书等。都应
该趁早写好。
我年轻时好想患癌去世。曾是个暴走族的
我。也想过骑摩托车出车祸而死。后来又想。其
实倒在路上死去也不错。至于现在。我每天都面
对着过劳死的风险。过劳死也算慢性自杀。
有些国家准许知","死亡焦虑, 未竟事务, 预立医疗计划, 生命意义, 告别与分离",,,,
ku_pdfbook_6e953480,善终守护师.pdf,177-178,"自己患上末期疾病快死的
人
向医生取得死的处方,这其实也算自杀的一
种。这么一说
感觉自杀也变得颇具多样性。不过
奉劝大家。健康的人绝对不要从大楼上跳下来啊 !
我也在博客里写过
在日本发起过针对自杀
普终守护  师
的公民运动。美国的俄勒冈州
华盛顿州
佛蒙特
州
蒙大拿州
新墨酉哥州等
巳允许由医生实施
自杀帮助。这种做法在日本会被认定为杀人罪。
医生对死期将至的人,施予致死药物。在欧
美被称为尊严死。欧美人士说的尊严死
其实就
是日本人说的安乐死,
这在日本可是毫无疑问的
杀人罪。大家用词上要小心。
日本人说的尊严死与欧美的尊严死。概念上
完全不一样。日本人说的尊严死
指的是自然死
或平","医疗决策, 预立医疗计划, 存在性痛苦, 文化敏感性",,,,
ku_pdfbook_ee2b9dda,善终守护师.pdf,179-179,"努
力许久才能解开日本社会对尊严死的误解。最
近。大家不是在谈尊严死,就是在说安乐死。其
实这两者都以自杀为前提。基督教禁止自杀。称
自杀行为是对上帝的挑战。这些概念。其实还没
第 5蕈  与医界对话
有被好好讨论过。
我们要在这里谈一谈容易被误解的几个重
点。日本所说的尊严死,
指的是自然死或平稳
死。然而,
欧美社会认为人快死了。不必强制照
护。吃不下也没关系,不用勉强,否则反而冒犯
了人的尊严
日本社会认为安乐死根本就是杀人的犯罪行
为,例如医生会开镇静剂让患者安眠,
日本国内
认为镇静剂会缩短寿命。但我认为这只是浅层观
点。欧美社会的态度则是人都快死了 _
即使因
注入镇静剂缩短了一点","生命意义, 灵性需求, 宗教需求, 文化敏感性, 医疗决策",,,,
ku_pdfbook_9f565285,善终守护师.pdf,179-180,"层观点中解脱出来。其
实。寿命本身并不固定
谁能确定是因为投用镇
静剂而使寿命缩短了?  我认为人最后怎么死。用
什么词去定义都没什么意义。重要的是要让人笑
着度过最后的阶段
这才是人该追求的尊严死。
善终  守 护  师
是啊,我也希望临终者最后都能含笑而归
有人问我对自杀的看法。
我希望加以预防。人想自杀时
就像是被什
么东西附了身。这种自杀要加以预防。然而。认
清死期己届的患者。所谓的自杀其实己经不叫自
杀,
而应该被划归为尊严死。我觉得日本应该像
欧美社会一样
让人有更自由的选择空间。
希望大家听我这样说。不要产生误解。我们
看一看允许安乐死的荷兰就知道。实际上每年安
乐死的人数并不多","死亡焦虑, 生命意义, 医疗决策, 预立医疗计划",,,,
ku_pdfbook_1cf52597,善终守护师.pdf,187-188,"的讨论。
生死学或临床生死学。是要把死的各个层面
都拿来讨论。法律也是如此
但那些自以为是的
人连我跟他们讨论的余地都没有留。不管是言论
还是思想,若没有多数人的支持,其实没意义。
第5章
与医界对话
我这一说
或许又有人要骂说 """"用多数表决杀死
弱者"" ,我暂时不能讲太多
至少。我的书获得了读者的支持,写书本身
就带有意义。就算书有不周全之处,但能感受到
人的意志。出版还是有意义的。
尊严死协会成立的1976年是个
转折点
您曾说要走中庸之道,愿闻其详
刚才提到了近藤诚的极端言论
最近又有中
村仁-写的《往生: 想好死就不要相信医疗》。他
是我尊敬的医生。从某个角度而言。他的这本书
写得相","死亡焦虑, 医疗决策, 预立医疗计划",,,,
ku_pdfbook_4853af71,善终守护师.pdf,189-189,"亲因抑郁症住进医院。他不但没好
转,最后还自杀了。现在的医疗甚至把失智老人
强行关进精神病院。
我总觉得,我生来是为了解放被现代医疗制
度囚禁的个人尊严。今后 ,我要用谁都能理解的
第5章
与医界对话
幽默语汇。甚至用影像。继续表达我的意见;  我
也要去拍摄居家治疗患者的影像,
当然要先征得
患者的同意。我说再多都没用
影像的说服力强
多了,也许我去做制片人之类的工作还比较容易
成功。
对啊,我也有同感
为什么死这件事不能公开谈论?  因为。自古
以来在日本,死被视为忌讳,
充斥着对这个议题
展开讨论的阻碍。我也想去国会陈情,但到了现
场一定会被骂 ""你这个杀人犯""
全世界只有日本这个国家。","死亡焦虑, 生命意义, 预立医疗计划, 文化敏感性",,,,
ku_pdfbook_7d2e5e67,善终守护师.pdf,205-206,"现状下,
年轻病患反映了
社会的病理。所谓灵魂的痛苦。不仅是死前发出
来的心灵之痛。其实也包含渴望知道自己活着的
意义。疾病与压力有密切的关系。倾听及诉说可
减轻压力。巳到了极限的家庭及社会若不改娈,
善终  守 护  师
其实是无法对因社会压力而生病的人进行根治的。
心灵治疗是关键
其后,我把心灵治疗当作思索医疗议题的
关键 
甚至去走访了心灵治疗的最前线-一安宁
病房的发祥地英国。我在那里访问了临终医疗
先驱西西里 `桑德斯女士。见到桑德斯女士后 ,
我学到安宁病房里最重要的是陪伴者应有的态
度及表现
从英国回来后,我找到了在安宁照护医院里
当医生的工作。
T是一名美丽的50岁女性,
她被","死亡焦虑, 存在性痛苦, 生命意义, 灵性需求, 癌症末期",,,,
ku_pdfbook_bcbd0f66,善终守护师.pdf,207-207,"缓解末期症状
住进了安宁病房。当时 ,
她的癌细胞巳转移到骨
骼。肝脏及肺部。为了减轻痛苦
让她服用麻醉
性止痛剂,后来内服止不住痛苦,只能从她大腿
根部静脉处插管,
打点滴止痛。
第5章
与医界对话
T胸腔积水导致呼吸困难,有时需要将管子
插入肋骨间的细缝,抽出积水。当积水被成功抽
出后 ,
她会露出笑容说 ""轻松多了""
她全身倦
怠,全脸因类固醇副作用娈变得浮肿。
某日,T对我说: ""如果您觉得我已经可以
到另一个世界了,您要先在我耳边通知我哦!
她用急促又浅小的呼吸,微弱地说出最后心愿。
几乎与宣告的时日相符。在圣诞树被点亮的
时分。在众多亲友的守护下,
她走完了人生。
她生命最后的美丽","疼痛管理, 呼吸困难, 疲劳与虚弱, 告别与分离, 生命意义",,,,
